DeliveryDate,DeliveryHour,DeliveryInterval,SettlementPointName,SettlementPointType,SettlementPointPrice,DSTFlag,timestamp,temperature,windspeed,solar_irradiance
04/17/2025,13,3,LZ_NORTH,LZ,21.3,N,2025-04-17 12:00:00,76.4,16.5,1138.0
04/13/2025,24,2,LZ_AEN,LZ,17.87,N,2025-04-13 23:00:00,71.5,9.1,0.0
04/13/2025,24,2,LZ_HOUSTON,LZ,18.77,N,2025-04-13 23:00:00,69.9,16.0,0.0
04/13/2025,24,2,LZ_NORTH,LZ,22.24,N,2025-04-13 23:00:00,76.7,14.2,0.0
04/12/2025,2,4,LZ_AEN,LZ,16.91,N,2025-04-12 01:00:00,65.8,0.0,0.0
04/12/2025,2,4,LZ_HOUSTON,LZ,18.42,N,2025-04-12 01:00:00,72.1,0.2,0.0
04/12/2025,2,4,LZ_NORTH,LZ,18.17,N,2025-04-12 01:00:00,63.0,4.9,0.0
04/15/2025,20,1,LZ_AEN,LZ,56.82,N,2025-04-15 19:00:00,80.0,5.2,39.0
04/15/2025,20,1,LZ_HOUSTON,LZ,56.81,N,2025-04-15 19:00:00,75.5,8.0,24.0
04/15/2025,20,1,LZ_NORTH,LZ,56.82,N,2025-04-15 19:00:00,72.3,8.7,40.0
04/14/2025,12,1,LZ_AEN,LZ,5.2,N,2025-04-14 11:00:00,75.8,10.2,667.0
04/14/2025,12,1,LZ_HOUSTON,LZ,22.01,N,2025-04-14 11:00:00,75.7,11.0,630.0
04/14/2025,12,1,LZ_NORTH,LZ,27.24,N,2025-04-14 11:00:00,73.5,14.3,1012.0
04/16/2025,6,3,LZ_AEN,LZ,22.36,N,2025-04-16 05:00:00,65.1,1.4,0.0
04/16/2025,6,3,LZ_HOUSTON,LZ,20.43,N,2025-04-16 05:00:00,67.6,7.5,0.0
04/16/2025,6,3,LZ_NORTH,LZ,16.97,N,2025-04-16 05:00:00,57.7,4.6,0.0
04/16/2025,15,3,LZ_AEN,LZ,5.17,N,2025-04-16 14:00:00,82.1,10.3,530.0
04/16/2025,15,3,LZ_HOUSTON,LZ,36.6,N,2025-04-16 14:00:00,79.3,17.6,907.0
04/16/2025,15,3,LZ_NORTH,LZ,31.11,N,2025-04-16 14:00:00,77.6,16.5,311.0
04/14/2025,1,1,LZ_AEN,LZ,18.14,N,2025-04-14 00:00:00,68.6,7.3,0.0
04/14/2025,1,1,LZ_HOUSTON,LZ,19.2,N,2025-04-14 00:00:00,68.3,20.4,0.0
04/14/2025,1,1,LZ_NORTH,LZ,23.36,N,2025-04-14 00:00:00,75.3,16.1,0.0
04/12/2025,13,4,LZ_AEN,LZ,3.9,N,2025-04-12 12:00:00,81.6,10.0,778.0
04/12/2025,13,4,LZ_HOUSTON,LZ,16.66,N,2025-04-12 12:00:00,79.1,10.5,824.0
04/12/2025,13,4,LZ_NORTH,LZ,-3.96,N,2025-04-12 12:00:00,74.9,11.5,1176.0
04/15/2025,9,1,LZ_AEN,LZ,40.6,N,2025-04-15 08:00:00,67.9,13.2,19.0
