DeliveryDate,DeliveryHour,DeliveryInterval,SettlementPointName,SettlementPointType,SettlementPointPrice,DSTFlag,timestamp
04/16/2025,13,3,LZ_HOUSTON,LZ,21.57,N,2025-04-16 12:00:00
04/16/2025,13,3,LZ_HOUSTON,LZEW,21.57,N,2025-04-16 12:00:00
04/16/2025,13,3,LZ_NORTH,LZ,15.32,N,2025-04-16 12:00:00
04/16/2025,13,3,LZ_NORTH,LZEW,15.32,N,2025-04-16 12:00:00
04/12/2025,15,4,LZ_AEN,LZEW,14.49,N,2025-04-12 14:00:00
04/12/2025,15,4,LZ_AEN,LZ,14.49,N,2025-04-12 14:00:00
04/12/2025,15,4,LZ_HOUSTON,LZEW,17.2,N,2025-04-12 14:00:00
04/12/2025,15,4,LZ_HOUSTON,LZ,17.2,N,2025-04-12 14:00:00
04/12/2025,15,4,LZ_NORTH,LZEW,-1.27,N,2025-04-12 14:00:00
04/12/2025,15,4,LZ_NORTH,LZ,-1.27,N,2025-04-12 14:00:00
04/14/2025,7,1,LZ_AEN,LZEW,29.11,N,2025-04-14 06:00:00
04/14/2025,7,1,LZ_AEN,LZ,29.11,N,2025-04-14 06:00:00
04/14/2025,7,1,LZ_HOUSTON,LZEW,26.68,N,2025-04-14 06:00:00
04/14/2025,7,1,LZ_HOUSTON,LZ,26.67,N,2025-04-14 06:00:00
04/14/2025,7,1,LZ_NORTH,LZ,25.34,N,2025-04-14 06:00:00
04/14/2025,7,1,LZ_NORTH,LZEW,25.35,N,2025-04-14 06:00:00
04/14/2025,18,1,LZ_AEN,LZEW,54.78,N,2025-04-14 17:00:00
04/14/2025,18,1,LZ_AEN,LZ,54.76,N,2025-04-14 17:00:00
04/14/2025,18,1,LZ_HOUSTON,LZ,32.79,N,2025-04-14 17:00:00
04/14/2025,18,1,LZ_HOUSTON,LZEW,32.79,N,2025-04-14 17:00:00
04/14/2025,18,1,LZ_NORTH,LZ,20.03,N,2025-04-14 17:00:00
04/14/2025,18,1,LZ_NORTH,LZEW,20.03,N,2025-04-14 17:00:00
04/12/2025,4,4,LZ_AEN,LZEW,15.1,N,2025-04-12 03:00:00
04/12/2025,4,4,LZ_AEN,LZ,15.1,N,2025-04-12 03:00:00
04/12/2025,4,4,LZ_HOUSTON,LZEW,16.51,N,2025-04-12 03:00:00
04/12/2025,4,4,LZ_HOUSTON,LZ,16.51,N,2025-04-12 03:00:00
04/12/2025,4,4,LZ_NORTH,LZ,16.01,N,2025-04-12 03:00:00
04/12/2025,4,4,LZ_NORTH,LZEW,16.01,N,2025-04-12 03:00:00
04/18/2025,8,4,LZ_AEN,LZEW,14.92,N,2025-04-18 07:00:00
04/18/2025,8,4,LZ_AEN,LZ,14.93,N,2025-04-18 07:00:00
04/18/2025,8,4,LZ_HOUSTON,LZEW,14.55,N,2025-04-18 07:00:00
04/18/2025,8,4,LZ_HOUSTON,LZ,14.55,N,2025-04-18 07:00:00
04/18/2025,8,4,LZ_NORTH,LZ,14.58,N,2025-04-18 07:00:00
04/18/2025,8,4,LZ_NORTH,LZEW,14.58,N,2025-04-18 07:00:00
04/12/2025,17,2,LZ_AEN,LZEW,17.27,N,2025-04-12 16:00:00
04/12/2025,17,2,LZ_AEN,LZ,17.27,N,2025-04-12 16:00:00
04/12/2025,17,2,LZ_HOUSTON,LZEW,16.74,N,2025-04-12 16:00:00
04/12/2025,17,2,LZ_HOUSTON,LZ,16.74,N,2025-04-12 16:00:00
